title,author,genre,sex,view,recommandation_count,total_serial_num,preferred_age
천년의기사단,전정현,판타지,남자,109717,241,1 ,30
엘프의기념비,S.W.청명,판타지,남자,14627,224,0 ,20
임모탈,투람바르,판타지,남자,21312,176,68 ,30
십이지세계,돌조각,일반소설,남자,915,9,8 ,30
셀렉트,푸를청,라이트노벨,남자,17513,99,41 ,20
여제의기사,MrCan,판타지,남자,51357,241,118 ,30
이계밀덕전,향날,퓨전,남자,14288,95,19 ,30
멋지게살자!,장취산,현대판타지,남자,771228,5167,32 ,50
Messiah,서이안,퓨전,남자,5266,90,22 ,30
고검환정록,직하인,무협,남자,6864165,41590,42 ,50
Spectator,약먹은인삼,퓨전 게임,남자,6854907,83586,327 ,20
하수구정령사,고샅,판타지,남자,334225,1720,34 ,40
블러드리스,니바스,판타지,남자,5745,88,30 ,30
만추지가,지유운,무협,남자,706936,2052,124 ,50
혁명과대의,최고사령관,판타지 전쟁·밀리터리,남자,84160,705,56 ,20
Destruction,에카마엘,SF,남자,28083,77,0 ,40
시간의발자국,김수,판타지,남자,202200,4805,83 ,30
구도자,구두룡™,무협,남자,459942,11980,277 ,50
엔쿠라스,색향,판타지,남자,1524099,11169,665 ,30
주유강호,影野,무협,남자,235758,1697,65 ,50
도플레안,atnasers,판타지,남자,34772,316,175 ,40
하얀기사이야기,d3884,판타지,남자,611062,8444,270 ,20
불멸의대마법사,이성현,판타지,남자,1080449,3659,30 ,50
아약의서재,아약,중·단편,남자,3997,49,6 ,20
쉐도우월드,꿈속날다,판타지,남자,46765,179,7 ,20
분노의시대,개쫑이아빠,현대판타지,남자,179672,3084,67 ,30
리메전1,폭렬천사,게임 SF,남자,141585,1065,66 ,30
이계생존귀환계획,이그니시스,퓨전,남자,109918,539,22 ,40
마검카벨,현설,판타지 퓨전,남자,17964,291,168 ,40
아키블레이드,휘긴,판타지,남자,168670,768,45 ,30
황금의잉카제국,江山,판타지,남자,52099,99,25 ,50
백호풍운,담하(澹霞),무협,남자,231438,110,16 ,50
썬더볼트,겨루,퓨전,남자,101490,4995,124 ,40
바람노래,하밀,판타지,남자,37312,113,32 ,30
나이트호크,프로즌,판타지,남자,60579,27,1 ,30
귀한기사,주작(朱雀),판타지,남자,2753924,33564,250 ,30
두개의태양,유호,현대판타지,남자,111866,8,2 ,50
화접지몽,최대장,무협,남자,230800,212,53 ,50
안겔루스,반야(F.F),판타지,남자,128520,114,52 ,50
패도환검,마하(摩訶),무협,남자,4580,0,2 ,50
삭월한애,허소문,무협,남자,1169336,1150,81 ,50
악인참만인활(출간삭제),귀수(鬼手),무협,남자,127698,23,4 ,40
마법의왕,창술의대가,판타지,남자,412665,1651,17 ,40
일보신권,*시니어*,무협,남자,767433,1012,26 ,40
이것이나의복수,황규영,무협,남자,108233,117,10 ,50
요마,묵성혼,무협,남자,3350,3,2 ,30
강남산성,건아성,일반소설,남자,851,5,1 ,30
고난살수,묵필(墨筆),무협,남자,1458,1,2 ,40
와일드엠페러,흙마왕,판타지,남자,60438,18,18 ,40
마계군주제로,엽사,판타지,남자,761874,5391,14 ,40
주향만리,홍형(洪瑩),무협,같음,271,0,0 ,10
소울드라이브,엽사,판타지,남자,130833,0,2 ,20
무장원행장기,자우,무협,남자,200285,616,13 ,50
구주팔황마신독,신독,무협,남자,1934258,3305,59 ,50
나는영웅이다,발도,현대판타지,남자,214665,782,11 ,40
